Date,Unemployment Rate,CPI,Fed Rate,BBB Rate,VIX,GDP,JPY/USD Spot Rate,Spot Crude Oil Price
2004-12-01,5.4,191.7,2.16,5.04,12.55,12527.214,103.81,43.33
2005-01-01,5.3,191.6,2.28,5.13,13.34,12767.286,103.34,46.84
2005-02-01,5.4,192.4,2.5,5.11,11.6,12767.286,104.94,47.97
2005-03-01,5.2,193.1,2.63,5.5,13.145,12767.286,105.25,54.31
2005-04-01,5.2,193.7,2.79,5.65,14.53,12922.656,107.19,53.04
2005-05-01,5.1,193.6,3.0,5.65,13.85,12922.656,106.6,49.83
2005-06-01,5.0,193.7,3.04,5.26,11.9,12922.656,108.75,56.26
2005-07-01,5.0,194.9,3.26,5.4,10.96,13142.642,111.95,58.7
2005-08-01,4.9,196.1,3.5,5.46,13.21,13142.642,110.61,64.97
2005-09-01,5.0,198.8,3.62,5.39,12.64,13142.642,111.24,65.57
2005-10-01,5.0,199.1,3.78,5.71,14.87,13324.204,114.87,62.37
2005-11-01,5.0,198.1,4.0,5.88,12.06,13324.204,118.45,58.3
2005-12-01,4.9,198.1,4.16,5.88,11.35,13324.204,118.46,59.43
2006-01-01,4.7,199.3,4.29,5.65,11.940000000000001,13599.16,115.48,65.51
2006-02-01,4.8,199.4,4.49,5.78,12.36,13599.16,117.86,61.63
2006-03-01,4.7,199.7,4.59,5.92,11.58,13599.16,117.28,62.9
2006-04-01,4.7,200.7,4.79,6.15,11.75,13753.424,117.07,69.69
2006-05-01,4.6,201.3,4.94,6.23,13.879999999999999,13753.424,111.73,70.94
2006-06-01,4.6,201.8,4.99,6.37,16.525,13753.424,114.63,70.96
2006-07-01,4.7,202.9,5.24,6.38,14.895,13870.188,115.77,74.41
2006-08-01,4.7,203.8,5.25,6.18,12.41,13870.188,115.92,73.05
2006-09-01,4.5,202.8,5.25,6.02,11.97,13870.188,117.21,63.87
2006-10-01,4.4,201.9,5.25,6.03,11.149999999999999,14039.56,118.61,58.88
2006-11-01,4.5,202.0,5.25,5.87,10.83,14039.56,117.32,59.37
2006-12-01,4.4,203.1,5.24,5.83,10.850000000000001,14039.56,117.32,62.03
2007-01-01,4.6,203.437,5.25,5.99,10.915,14215.651,120.45,54.57
2007-02-01,4.5,204.226,5.26,5.91,10.34,14215.651,120.5,59.26
2007-03-01,4.4,205.288,5.26,5.81,14.81,14215.651,117.26,60.56
2007-04-01,4.5,205.904,5.25,5.92,12.915,14402.082,118.93,63.97
2007-05-01,4.4,206.755,5.25,5.96,13.225000000000001,14402.082,120.77,63.46
2007-06-01,4.6,207.234,5.25,6.32,14.73,14402.082,122.69,67.48
2007-07-01,4.7,207.603,5.26,6.34,16.0,14564.117,121.41,74.18
2007-08-01,4.6,207.667,5.02,6.34,25.06,14564.117,116.73,72.39
2007-09-01,4.7,208.547,4.94,6.23,22.78,14564.117,115.04,79.93
2007-10-01,4.7,209.19,4.76,6.16,18.8,14715.058,115.87,86.2
2007-11-01,4.7,210.834,4.49,6.09,25.61,14715.058,111.07,94.62
2007-12-01,5.0,211.445,4.24,6.31,22.075,14715.058,112.45,91.73
2008-01-01,5.0,212.174,3.94,6.09,25.43,14706.538,107.82,92.95
2008-02-01,4.9,212.687,2.98,6.22,25.33,14706.538,107.03,95.35
2008-03-01,5.1,213.448,2.61,6.43,26.32,14706.538,100.76,105.56
2008-04-01,5.0,213.942,2.28,6.55,21.425,14865.701,102.68,112.57
2008-05-01,5.4,215.208,1.98,6.52,18.18,14865.701,104.36,125.39
2008-06-01,5.6,217.463,2.0,6.69,22.42,14865.701,106.92,133.93
2008-07-01,5.8,219.016,2.01,6.88,24.14,14898.999,106.85,133.44
2008-08-01,6.1,218.69,2.0,6.92,20.65,14898.999,109.36,116.61
2008-09-01,6.1,218.877,1.81,7.14,31.7,14898.999,106.57,103.9
2008-10-01,6.5,216.995,0.97,9.18,62.9,14608.209,99.97,76.65
2008-11-01,6.8,213.153,0.39,9.91,61.44,14608.209,96.97,57.44
2008-12-01,7.3,211.398,0.16,9.79,53.325,14608.209,91.28,41.02
2009-01-01,7.8,211.933,0.15,9.19,44.115,14430.902,90.12,41.74
2009-02-01,8.3,212.705,0.22,9.09,44.67,14430.902,92.92,39.16
2009-03-01,8.7,212.495,0.18,9.5,43.71,14430.902,97.86,47.98
2009-04-01,9.0,212.709,0.15,9.14,37.81,14381.236,98.92,49.79
2009-05-01,9.4,213.022,0.18,8.23,32.205,14381.236,96.64,59.16
2009-06-01,9.5,214.79,0.21,7.52,29.625,14381.236,96.61,69.68
2009-07-01,9.5,214.726,0.16,6.98,25.515,14448.882,94.37,64.09
2009-08-01,9.6,215.445,0.16,6.34,25.01,14448.882,94.9,71.06
2009-09-01,9.8,215.861,0.15,5.93,24.32,14448.882,91.27,69.46
2009-10-01,10.0,216.509,0.12,5.72,23.65,14651.249,90.37,75.82
2009-11-01,9.9,217.234,0.12,5.55,23.095,14651.249,89.27,78.08
2009-12-01,9.9,217.347,0.12,5.48,21.369999999999997,14651.249,89.95,74.3
2010-01-01,9.8,217.488,0.11,5.25,19.16,14764.61,91.1,78.22
2010-02-01,9.8,217.281,0.13,5.22,21.72,14764.61,90.14,76.42
2010-03-01,9.9,217.353,0.16,5.13,17.69,14764.61,90.72,81.24
2010-04-01,9.9,217.403,0.2,5.04,16.62,14980.193,93.45,84.48
2010-05-01,9.6,217.29,0.2,5.01,31.655,14980.193,91.97,73.84
2010-06-01,9.4,217.199,0.18,5.12,29.23,14980.193,90.81,75.35
2010-07-01,9.4,217.605,0.18,4.87,24.89,15141.607,87.5,76.37
2010-08-01,9.5,217.923,0.19,4.5,25.439999999999998,15141.607,85.37,76.82
2010-09-01,9.5,218.275,0.19,4.44,22.51,15141.607,84.36,75.31
2010-10-01,9.4,219.035,0.19,4.24,20.22,15309.474,81.73,81.9
2010-11-01,9.8,219.59,0.19,4.35,19.56,15309.474,82.52,84.14
2010-12-01,9.3,220.472,0.18,4.72,17.58,15309.474,83.34,89.04
2011-01-01,9.1,221.187,0.17,4.68,17.345,15351.448,82.63,89.42
2011-02-01,9.0,221.898,0.16,4.75,16.59,15351.448,82.54,89.58
2011-03-01,9.0,223.046,0.14,4.62,20.21,15351.448,81.65,102.94
2011-04-01,9.1,224.093,0.1,4.58,16.43,15557.539,83.18,110.04
2011-05-01,9.0,224.806,0.09,4.35,17.07,15557.539,81.13,101.33
2011-06-01,9.1,224.806,0.09,4.31,18.825,15557.539,80.43,96.29
2011-07-01,9.0,225.395,0.07,4.31,19.28,15647.68,79.24,97.19
2011-08-01,9.0,226.106,0.1,4.17,35.06,15647.68,76.97,86.33
2011-09-01,9.0,226.597,0.08,4.34,37.0,15647.68,76.8,85.61
2011-10-01,8.8,226.75,0.07,4.61,32.22,15842.259,76.64,86.41
2011-11-01,8.6,227.169,0.08,4.45,32.0,15842.259,77.56,97.21
2011-12-01,8.5,227.223,0.07,4.55,25.11,15842.259,77.8,98.57
2012-01-01,8.3,227.842,0.08,4.43,20.549999999999997,16068.805,76.96,100.24
2012-02-01,8.3,228.329,0.1,4.15,18.19,16068.805,78.47,102.25
2012-03-01,8.2,228.807,0.13,4.09,15.535,16068.805,82.47,106.19
2012-04-01,8.2,229.187,0.14,4.05,17.770000000000003,16207.115,81.25,103.33
2012-05-01,8.2,228.713,0.16,4.01,21.65,16207.115,79.67,94.7
2012-06-01,8.2,228.524,0.16,4.04,21.11,16207.115,79.32,82.41
2012-07-01,8.2,228.59,0.16,3.8,17.5,16319.541,78.93,87.93
2012-08-01,8.1,229.918,0.13,3.72,15.32,16319.541,78.69,94.16
2012-09-01,7.8,231.015,0.14,3.58,14.84,16319.541,78.14,94.72
2012-10-01,7.8,231.638,0.16,3.39,16.14,16420.419,79.01,89.57
2012-11-01,7.7,231.249,0.16,3.35,16.65,16420.419,81.03,86.66
2012-12-01,7.9,231.221,0.16,3.35,16.82,16420.419,83.79,88.25
2013-01-01,8.0,231.679,0.14,3.32,13.55,16648.189,89.06,94.69
2013-02-01,7.7,232.937,0.15,3.41,13.5,16648.189,93.0,95.32
2013-03-01,7.5,232.282,0.14,3.37,13.105,16648.189,94.77,93.05
2013-04-01,7.6,231.797,0.15,3.25,13.614999999999998,16728.687,97.76,92.07
2013-05-01,7.5,231.893,0.11,3.3,13.100000000000001,16728.687,100.92,94.8
2013-06-01,7.5,232.445,0.09,3.82,16.86,16728.687,97.24,95.8
2013-07-01,7.3,232.9,0.09,4.01,13.785,16953.838,99.67,104.61
2013-08-01,7.2,233.456,0.08,4.07,14.175,16953.838,97.81,106.57
2013-09-01,7.2,233.544,0.08,4.13,14.345,16953.838,99.21,106.29
2013-10-01,7.2,233.669,0.09,3.92,14.71,17192.019,97.77,100.54
2013-11-01,6.9,234.1,0.08,3.89,12.86,17192.019,100.07,93.86
2013-12-01,6.7,234.719,0.09,3.9,13.91,17192.019,103.46,97.63
2014-01-01,6.6,235.288,0.07,3.81,13.28,17197.738,103.76,94.62
2014-02-01,6.7,235.547,0.07,3.71,14.51,17197.738,102.13,100.82
2014-03-01,6.7,236.028,0.08,3.7,14.52,17197.738,102.34,100.8
2014-04-01,6.2,236.468,0.09,3.62,13.82,17518.508,102.46,102.07
2014-05-01,6.3,236.918,0.09,3.47,12.42,17518.508,101.77,102.18
2014-06-01,6.1,237.231,0.1,3.47,11.59,17518.508,102.06,105.79
2014-07-01,6.2,237.498,0.09,3.46,12.02,17804.228,101.74,103.59
2014-08-01,6.1,237.46,0.09,3.44,12.42,17804.228,102.94,96.54
2014-09-01,5.9,237.477,0.09,3.54,12.88,17804.228,107.43,93.21
2014-10-01,5.7,237.43,0.09,3.5,16.53,17912.079,108.03,84.4
2014-11-01,5.8,236.983,0.09,3.63,13.33,17912.079,116.3,75.79
2014-12-01,5.6,236.252,0.12,3.78,15.155000000000001,17912.079,119.32,59.29
2015-01-01,5.7,234.747,0.11,3.64,19.455,18063.529,118.25,47.22
2015-02-01,5.5,235.342,0.11,3.65,15.45,18063.529,118.76,50.58
2015-03-01,5.4,235.976,0.11,3.56,15.065000000000001,18063.529,120.39,47.82
2015-04-01,5.4,236.222,0.12,3.41,13.3,18279.784,119.51,54.45
2015-05-01,5.6,237.001,0.12,3.63,13.075,18279.784,120.8,59.27
2015-06-01,5.3,237.657,0.13,3.85,14.015,18279.784,123.72,59.82
2015-07-01,5.2,238.034,0.13,3.9,13.405,18401.626,123.31,50.9
2015-08-01,5.1,238.033,0.14,4.0,13.77,18401.626,123.0,42.87
2015-09-01,5.0,237.498,0.14,4.07,24.25,18401.626,120.15,45.48
2015-10-01,5.0,237.733,0.12,4.04,16.11,18435.137,120.05,46.22
2015-11-01,5.1,238.017,0.12,4.16,15.774999999999999,18435.137,122.64,42.44
2015-12-01,5.0,237.761,0.24,4.32,17.73,18435.137,121.64,37.19
2016-01-01,4.8,237.652,0.34,4.41,23.95,18525.933,118.23,31.68
2016-02-01,4.9,237.336,0.38,4.46,21.744999999999997,18525.933,114.62,30.32
2016-03-01,5.0,238.08,0.36,4.16,15.870000000000001,18525.933,112.93,37.55
2016-04-01,5.1,238.992,0.37,3.76,13.96,18711.702,109.55,40.75
2016-05-01,4.8,239.557,0.37,3.69,14.69,18711.702,108.85,46.71
2016-06-01,4.9,240.222,0.38,3.54,17.810000000000002,18711.702,105.35,48.76
2016-07-01,4.8,240.101,0.39,3.33,12.85,18892.639,104.19,44.65
2016-08-01,4.9,240.545,0.4,3.28,12.38,18892.639,101.24,44.72
2016-09-01,5.0,241.176,0.4,3.3,13.48,18892.639,101.78,45.18
2016-10-01,4.9,241.741,0.4,3.35,14.24,19089.379,103.91,49.78
2016-11-01,4.7,242.026,0.41,3.67,13.72,19089.379,108.44,45.66
2016-12-01,4.7,242.637,0.54,3.86,12.22,19089.379,116.0,51.97
2017-01-01,4.7,243.618,0.65,3.75,11.55,19280.084,114.87,52.5
2017-02-01,4.6,244.006,0.66,3.7,11.49,19280.084,112.91,53.47
2017-03-01,4.4,243.892,0.79,3.76,11.66,19280.084,112.92,49.33
2017-04-01,4.4,244.193,0.9,3.64,12.89,19438.643,110.09,51.06
2017-05-01,4.4,244.004,0.91,3.59,10.440000000000001,19438.643,112.24,48.48
2017-06-01,4.3,244.163,1.04,3.5,10.434999999999999,19438.643,110.91,45.18
2017-07-01,4.3,244.243,1.15,3.52,10.004999999999999,19692.595,112.42,46.63
2017-08-01,4.4,245.183,1.16,3.47,11.35,19692.595,109.83,48.04
2017-09-01,4.3,246.435,1.15,3.47,10.175,19692.595,110.78,49.82
2017-10-01,4.2,246.626,1.15,3.5,10.010000000000002,20037.088,112.91,51.58
2017-11-01,4.2,247.284,1.16,3.56,10.2,20037.088,112.82,56.64
2017-12-01,4.1,247.805,1.3,3.59,10.17,20037.088,112.94,57.88
2018-01-01,4.0,248.859,1.41,3.68,11.08,20328.553,110.87,63.7
2018-02-01,4.1,249.529,1.42,3.94,19.85,20328.553,107.97,62.23
2018-03-01,4.0,249.577,1.51,4.09,18.36,20328.553,106.05,62.73
2018-04-01,4.0,250.227,1.69,4.17,17.84,20580.912,107.66,66.25
2018-05-01,3.8,250.792,1.7,4.33,13.425,20580.912,109.69,69.98
2018-06-01,4.0,251.018,1.82,4.39,12.79,20580.912,110.06,67.87
2018-07-01,3.8,251.214,1.91,4.37,12.83,20798.73,111.52,70.98
2018-08-01,3.8,251.663,1.91,4.32,12.49,20798.73,111.0,68.06
2018-09-01,3.7,252.182,1.95,4.41,12.79,20798.73,112.1,70.23
2018-10-01,3.8,252.772,2.19,4.56,20.06,20917.867,112.72,70.75
2018-11-01,3.8,252.594,2.2,4.73,19.51,20917.867,113.34,56.96
2018-12-01,3.9,252.767,2.27,4.73,24.52,20917.867,112.2,49.52
2019-01-01,4.0,252.561,2.4,4.6,19.07,21111.6,108.96,51.38
2019-02-01,3.8,253.319,2.4,4.37,15.38,21111.6,110.44,54.95
2019-03-01,3.8,254.277,2.41,4.19,14.33,21111.6,111.14,58.15
2019-04-01,3.7,255.233,2.42,4.05,13.11,21397.938,111.64,63.86
2019-05-01,3.6,255.296,2.39,3.96,16.375,21397.938,109.97,60.83
2019-06-01,3.6,255.213,2.38,3.7,15.865,21397.938,108.07,54.66
2019-07-01,3.7,255.802,2.4,3.56,12.98,21717.171,108.29,57.35
2019-08-01,3.6,256.036,2.13,3.3,18.725,21717.171,106.19,54.81
2019-09-01,3.5,256.43,2.04,3.32,15.235,21717.171,107.54,56.95
2019-10-01,3.6,257.155,1.83,3.27,14.25,21933.217,108.14,53.96
2019-11-01,3.6,257.879,1.55,3.27,12.649999999999999,21933.217,108.86,57.03
2019-12-01,3.6,258.63,1.55,3.22,13.62,21933.217,109.1,59.88
2020-01-01,3.6,258.906,1.55,3.07,12.98,21727.657,109.27,57.52
2020-02-01,3.5,259.246,1.58,2.9,15.47,21727.657,110.03,50.54
2020-03-01,4.4,258.15,0.65,4.06,59.415,21727.657,107.67,29.21
2020-04-01,14.8,256.126,0.05,3.96,41.38,19935.444,107.74,16.55
2020-05-01,13.2,255.848,0.05,3.32,30.03,19935.444,107.2,28.56
2020-06-01,11.0,257.004,0.08,2.78,31.775,19935.444,107.58,38.31
2020-07-01,10.2,258.408,0.09,2.48,26.685,21684.551,106.68,40.71
2020-08-01,8.4,259.366,0.1,2.36,22.54,21684.551,106.01,42.34
2020-09-01,7.8,259.951,0.09,2.37,26.57,21684.551,105.59,39.63
2020-10-01,6.8,260.249,0.09,2.4,28.009999999999998,22068.767,105.21,39.4
2020-11-01,6.7,260.895,0.09,2.27,23.575,22068.767,104.41,40.94
2020-12-01,6.7,262.005,0.09,2.12,22.384999999999998,22068.767,103.8,47.02
2021-01-01,6.4,262.518,0.09,2.13,23.25,22656.793,103.79,52.0
2021-02-01,6.2,263.583,0.08,2.21,21.99,22656.793,105.38,59.04
2021-03-01,6.1,264.91,0.07,2.49,20.95,22656.793,108.7,62.33
2021-04-01,6.1,266.752,0.07,2.44,17.33,23368.861,109.04,61.72
2021-05-01,5.8,268.452,0.06,2.4,19.314999999999998,23368.861,109.11,65.17
2021-06-01,5.9,270.664,0.08,2.32,16.54,23368.861,110.11,71.38
2021-07-01,5.4,271.994,0.1,2.21,17.58,23921.991,110.21,72.49
2021-08-01,5.1,272.789,0.09,2.24,16.97,23921.991,109.85,67.73
2021-09-01,4.7,273.887,0.08,2.25,18.8,23921.991,110.16,71.65
2021-10-01,4.5,276.434,0.08,2.44,16.86,24777.038,113.12,81.48
2021-11-01,4.1,278.799,0.08,2.51,17.59,24777.038,113.97,79.15
2021-12-01,3.9,280.808,0.08,2.58,20.439999999999998,24777.038,113.83,71.71
2022-01-01,4.0,282.39,0.08,2.87,21.549999999999997,25215.491,114.83,83.22
2022-02-01,3.8,284.535,0.08,3.3,25.7,25215.491,115.28,91.64
2022-03-01,3.6,287.553,0.2,3.84,26.67,25215.491,118.58,108.5
2022-04-01,3.7,288.764,0.33,4.3,22.425,25805.791,126.37,101.78
2022-05-01,3.6,291.359,0.77,4.66,29.3,25805.791,128.85,109.55
2022-06-01,3.6,294.996,1.21,5.01,28.259999999999998,25805.791,133.96,114.84
2022-07-01,3.5,294.977,1.68,5.0,24.69,26272.011,136.71,101.62
2022-08-01,3.6,295.209,2.33,4.92,21.77,26272.011,135.28,93.67
2022-09-01,3.5,296.341,2.56,5.59,26.605,26272.011,143.28,84.26
2022-10-01,3.6,297.863,3.08,6.25,30.1,26734.277,147.05,87.55
2022-11-01,3.6,298.648,3.78,6.01,23.630000000000003,26734.277,142.45,84.37
2022-12-01,3.5,298.812,4.1,5.61,21.97,26734.277,134.91,76.44
2023-01-01,3.4,300.356,4.33,5.42,19.85,27164.359,130.45,78.12
2023-02-01,3.6,301.509,4.57,5.59,20.255000000000003,27164.359,133.05,76.83
2023-03-01,3.5,301.744,4.65,5.73,21.38,27164.359,133.66,73.28
2023-04-01,3.4,303.032,4.83,5.46,17.8,27453.815,133.47,79.45
2023-05-01,3.7,303.365,5.06,5.65,17.46,27453.815,137.05,71.58
2023-06-01,3.6,304.003,5.08,5.8,13.88,27453.815,141.36,70.25
2023-07-01,3.5,304.628,5.12,5.81,13.7,27967.697,140.94,76.07
2023-08-01,3.8,306.187,5.33,5.99,15.96,27967.697,144.78,81.39
2023-09-01,3.8,307.288,5.33,6.15,14.23,27967.697,147.85,89.43
2023-10-01,3.8,307.531,5.33,6.55,18.775,28296.967,149.59,85.64
2023-11-01,3.7,308.024,5.33,6.19,14.165,28296.967,149.68,77.69
2023-12-01,3.7,308.742,5.33,5.55,12.595,28296.967,143.98,71.9
2024-01-01,3.7,309.685,5.33,5.46,13.280000000000001,28624.069,146.29,74.15
2024-02-01,3.9,311.054,5.33,5.6,13.85,28624.069,149.62,77.25
2024-03-01,3.8,312.23,5.33,5.58,13.785,28624.069,149.82,81.28
2024-04-01,3.9,313.207,5.33,5.84,15.745000000000001,29016.714,153.89,85.35
2024-05-01,4.0,313.225,5.33,5.75,12.92,29016.714,155.87,80.02
2024-06-01,4.1,313.049,5.33,5.63,12.645,29016.714,157.86,79.77
2024-07-01,4.3,313.534,5.33,5.53,13.19,29374.914,157.52,81.8
2024-08-01,4.2,314.121,5.33,5.2,16.689999999999998,29374.914,146.26,76.68
2024-09-01,4.1,314.686,5.13,4.96,17.07,29374.914,142.95,70.24
2024-10-01,4.1,315.454,4.83,5.19,19.7,29374.914,149.89,71.99
2024-11-01,4.2,316.441,4.64,5.37,15.2,29374.914,153.71,69.95
